"","Type","ICCVal","lowerConfInt","upperConfInt","pValue"
"NasICCRatingAgreeWordAverzii7w","agreement",0.170254403131116,-0.345627612114676,0.700725462008116,0.246041336761535
"NasICCRatingConsWordAver","consistency",0.867546008191734,0.708905977102707,0.963942729345219,5.46134205046184e-10
"NasICCRatingConsWordAver3aafw","consistency",0.447540983606558,-0.397093414891794,0.85612222499994,0.103732915737745
"NasICCRatingConsWordAver3aamw","consistency",0.635448577680525,0.0780992319812899,0.905059296780343,0.0163518473274182
"NasICCRatingConsWordAver3eebv","consistency",0.548633879781421,-0.141443284570348,0.88245000776454,0.0466118127579837
"NasICCRatingConsWordAver3eebw","consistency",0.576854599406528,-0.0700769381413728,0.889799574389532,0.0347463531977094
"NasICCRatingConsWordAver3eenw","consistency",0.556028368794326,-0.122743631564662,0.884375766227828,0.0433158925874021
"NasICCRatingConsWordAver3iishw","consistency",0.0697674418604657,-1.35243111747704,0.757738064315681,0.399752517626455
"NasICCRatingConsWordAver3oo3v","consistency",-0.210309278350516,-2.06070689877515,0.684797241308871,0.584608414052574
"NasICCRatingConsWordAver3oo3w","consistency",0.369230769230769,-0.595129253889239,0.835727772072517,0.159990506694702
"NasICCRatingConsWordAver3oonw","consistency",0.879910714285714,0.696310594465883,0.968724957477003,1.4381897213051e-06
"NasICCRatingConsWordAver7aadw","consistency",0.402614379084967,-0.510706663056906,0.844421918361681,0.135049069723702
"NasICCRatingConsWordAver7eefv","consistency",0.884630738522954,0.708246891248631,0.969954200850808,9.04543982737628e-07
"NasICCRatingConsWordAver7eefw","consistency",0.769590643274854,0.417326198943041,0.939994126982986,0.000785051413826946
"NasICCRatingConsWordAver7enw","consistency",0.719158878504673,0.289791152231786,0.926860102758296,0.00333889979302135
"NasICCRatingConsWordAver7ookw","consistency",0.800514138817481,0.495527496606852,0.94804758181289,0.000238762001003472
"NasICCRatingConsWordAver7oomw","consistency",0.914285714285714,0.783240275603901,0.977677293069088,2.25288113717412e-08
"NasICCRatingConsWordAverbaa3w","consistency",0.212121212121212,-0.992437870711614,0.79481148174616,0.286618044806013
"NasICCRatingConsWordAverbeetw","consistency",0.286829268292683,-0.803511397942825,0.814267818917922,0.225407694306981
"NasICCRatingConsWordAverbii3v","consistency",-0.17142857142857,-1.96238290008001,0.694923005277533,0.562443389387344
"NasICCRatingConsWordAverbii3w","consistency",0.110429447852761,-1.24960245666708,0.768327734817219,0.368380912899091
"NasICCRatingConsWordAverbooshw","consistency",0.771428571428571,0.42197406827707,0.940472781517567,0.000737037177167988
"NasICCRatingConsWordAverdaasw","consistency",0.586607142857143,-0.0454140874520175,0.892339444697788,0.0310998075729714
"NasICCRatingConsWordAverdiinw","consistency",0.892844036697248,0.729017200816131,0.972093203078419,3.76656960207298e-07
"NasICCRatingConsWordAverdjuu3v","consistency",0.723529411764706,0.300843634055721,0.92799832764441,0.00300028853180926
"NasICCRatingConsWordAverdjuu3w","consistency",0.404597701149426,-0.505691112375964,0.844938438062284,0.133607547322183
"NasICCRatingConsWordAverdoomv","consistency",0.803024574669187,0.501876046079035,0.948701378590399,0.00021385984428223
"NasICCRatingConsWordAverdoomw","consistency",0.796287703016241,0.484839417579883,0.946946884455767,0.000285955420997322
"NasICCRatingConsWordAverloo7w","consistency",0.206896551724138,-1.00565032343517,0.79345081517949,0.290894190900719
"NasICCRatingConsWordAvermaatv","consistency",0.754337899543379,0.378754092788655,0.936021830820536,0.00128443750363583
"NasICCRatingConsWordAvermaatw","consistency",0.775953079178886,0.433415930561909,0.941651106223598,0.00062862365367994
"NasICCRatingConsWordAvermoozw","consistency",0.793333333333333,0.477368220067184,0.9461774732888,0.000323204186954929
"NasICCRatingConsWordAvermuunw","consistency",0.824390243902439,0.55590690611531,0.95426567360496,7.56217887753747e-05
"NasICCRatingConsWordAvermuusw","consistency",0.786754966887417,0.460732429592929,0.94446425891581,0.000420210830749445
"NasICCRatingConsWordAvernaa7v","consistency",0.706598984771573,0.258028896018092,0.923589109777943,0.00446804809915172
"NasICCRatingConsWordAvernaa7w","consistency",0.918572927597062,0.794082052654843,0.978793818809249,1.13951582595409e-08
"NasICCRatingConsWordAvernaamv","consistency",0.718631178707224,0.288456671500766,0.926722673065827,0.00338160709005564
"NasICCRatingConsWordAvernaamw","consistency",0.796197718631179,0.484611859357312,0.946923449680112,0.000287036348882134
"NasICCRatingConsWordAvernoo3v","consistency",0.828120516499283,0.565340256148809,0.955237154394397,6.17534655704488e-05
"NasICCRatingConsWordAvernoo3w","consistency",0.602150537634409,-0.00610696449085246,0.896387435571572,0.0257739497069603
"NasICCRatingConsWordAvernoomw","consistency",0.727338129496403,0.310475361123682,0.928990238024328,0.00272652753734819
"NasICCRatingConsWordAvernuu7v","consistency",0.379259259259259,-0.569768571984586,0.838339507584282,0.152372592961661
"NasICCRatingConsWordAvernuu7w","consistency",0.872289156626506,0.677036715859628,0.966740063167195,2.88170242940045e-06
"NasICCRatingConsWordAversaamv","consistency",0.556153846153846,-0.122426316456208,0.88440844449493,0.0432610988636387
"NasICCRatingConsWordAversaamw","consistency",0.494890510948905,-0.277352925759978,0.868453537258712,0.0743535218312277
"NasICCRatingConsWordAverzaa7w","consistency",0.34015748031496,-0.66865163163716,0.828156169479355,0.182580127299562
"NasICCRatingConsWordAverzii7w","consistency",0.280645161290323,-0.819150160119945,0.812657282155086,0.230448894884013
"VQICCRatingAgreeWordAver","agreement",0.905567644703257,0.798762686617893,0.973785744849839,1.82237461658355e-20
"VQICCRatingAgreeWordAver3aafw","agreement",0.22167487684729,-0.550728042150542,0.767036516946728,0.239733809643866
"VQICCRatingAgreeWordAver3aamw","agreement",0.469090909090909,-0.0853796407594335,0.84169807684495,0.0444113475257354
"VQICCRatingAgreeWordAver3eebv","agreement",0.2578125,-0.410528171122297,0.768983154681128,0.193060172077918
"VQICCRatingAgreeWordAver3eebw","agreement",0.815668202764977,0.546502182408136,0.95146235188727,5.81263084550226e-05
"VQICCRatingAgreeWordAver3eenw","agreement",0.369458128078818,-0.436722168162111,0.826971919662052,0.137783363829698
"VQICCRatingAgreeWordAver3iishw","agreement",0.572815533980583,0.0212512330411681,0.882810181493565,0.02195879128517
"VQICCRatingAgreeWordAver3oo3v","agreement",0.161290322580645,-0.703459046400551,0.752750847851931,0.301787489254719
"VQICCRatingAgreeWordAver3oo3w","agreement",0.623931623931624,0.108902098317189,0.898928431364112,0.0125440181211792
"VQICCRatingAgreeWordAver3oonw","agreement",0.475609756097561,-0.370762370252697,0.865834689763992,0.0916639136317409
"VQICCRatingAgreeWordAver7aadw","agreement",0.137254901960784,-0.866046280969254,0.755985310202002,0.33196211856461
"VQICCRatingAgreeWordAver7eefv","agreement",-0.523809523809524,-3.01024320536101,0.611177089514191,0.720370953812163
"VQICCRatingAgreeWordAver7eefw","agreement",0.0322580645161289,-0.904490889262246,0.708265099130145,0.421035498110085
"VQICCRatingAgreeWordAver7enw","agreement",0.681081081081081,0.227489215314065,0.915343971104019,0.00507903737811589
"VQICCRatingAgreeWordAver7ookw","agreement",0.681274900398407,0.250524288198818,0.913739682980136,0.00351816851475978
"VQICCRatingAgreeWordAver7oomw","agreement",0.670694864048338,0.223826143312366,0.91108641991912,0.00469864627683351
"VQICCRatingAgreeWordAverbaa3w","agreement",0.5,-0.0253524229218304,0.850450823334732,0.030158192981129
"VQICCRatingAgreeWordAverbeetw","agreement",0.136363636363636,-0.478549639833311,0.70694830728782,0.299255183773144
"VQICCRatingAgreeWordAverbii3v","agreement",0.0229007633587788,-0.728973581129097,0.679536342585371,0.42672118596652
"VQICCRatingAgreeWordAverbii3w","agreement",0.404255319148936,-0.226746177467211,0.82466355795213,0.0869477275944928
"VQICCRatingAgreeWordAverbooshw","agreement",0.230769230769231,-0.578194689132249,0.774539013300238,0.236832707417367
"VQICCRatingAgreeWordAverdaasw","agreement",0.454005934718101,-0.174553320203538,0.844148728308813,0.0646296052690052
"VQICCRatingAgreeWordAverdiinw","agreement",-2.04381965896904e-16,-0.340828184407556,0.544211163567781,0.451157514564556
"VQICCRatingAgreeWordAverdjuu3v","agreement",0.397058823529412,-0.308520457022565,0.829313110277665,0.105326014181308
"VQICCRatingAgreeWordAverdjuu3w","agreement",0.395604395604396,-0.166808446279503,0.812006593393387,0.0758320534823881
"VQICCRatingAgreeWordAverdoomv","agreement",-0.436893203883494,-3.14861575282519,0.648014965313942,0.677625121995199
"VQICCRatingAgreeWordAverdoomw","agreement",0.346153846153847,-0.398064089009153,0.813261706004011,0.141930658978177
"VQICCRatingAgreeWordAverloo7w","agreement",0.6,0.0853720972741418,0.889975276487719,0.0141656935160176
"VQICCRatingAgreeWordAvermaatv","agreement",0.609756097560976,0.0986900838958867,0.89338469829283,0.0130135596089088
"VQICCRatingAgreeWordAvermaatw","agreement",0.214285714285714,-0.747475579381316,0.781457593829499,0.266211429569379
"VQICCRatingAgreeWordAvermoozw","agreement",0.280788177339902,-0.53989295374648,0.795033786874156,0.199182814117749
"VQICCRatingAgreeWordAvermuunw","agreement",0.535714285714286,-0.156007413814972,0.878515012275353,0.0498702350829801
"VQICCRatingAgreeWordAvermuusw","agreement",0.141176470588235,-0.966739462088004,0.765105650421447,0.334287460487062
"VQICCRatingAgreeWordAvernaa7v","agreement",-0.294642857142857,-1.35487511067767,0.567858196648296,0.71254878697995
"VQICCRatingAgreeWordAvernaa7w","agreement",-0.0606060606060606,-0.906866416079421,0.680417531577323,0.63280008402107
"VQICCRatingAgreeWordAvernaamv","agreement",-0.689189189189188,-1.49363790088989,0.312847517336374,0.899991172364444
"VQICCRatingAgreeWordAvernaamw","agreement",-0.0270270270270267,-0.59218649537808,0.609735220583958,0.494282005210984
"VQICCRatingAgreeWordAvernoo3v","agreement",0.5,-0.192487132298417,0.866229606359393,0.0600933272646832
"VQICCRatingAgreeWordAvernoo3w","agreement",0.409691629955947,-0.290464268442038,0.833654063437539,0.0978464333291328
"VQICCRatingAgreeWordAvernoomw","agreement",0.668181818181818,0.198783606646207,0.911768490440443,0.0064708845097029
"VQICCRatingAgreeWordAvernuu7v","agreement",0.624161073825503,0.152015343111906,0.895088068878873,0.00781127260909458
"VQICCRatingAgreeWordAvernuu7w","agreement",0.406896551724138,-0.216239770206596,0.824823578218363,0.0839849988931115
"VQICCRatingAgreeWordAversaamv","agreement",0.139240506329114,-0.856799093777281,0.756145266258091,0.329885915311677
"VQICCRatingAgreeWordAversaamw","agreement",-0.114503816793893,-2.55862392614315,0.808817264988487,0.702169651764283
"VQICCRatingAgreeWordAverzaa7w","agreement",0.637426900584796,0.175940082288212,0.899276417488354,0.00635793388903696
"VQICCRatingAgreeWordAverzii7w","agreement",0.644341801385681,0.174389042607154,0.903014910237228,0.00706022878532748
"VQICCRatingConsWordAver","consistency",0.930850675284832,0.848030589058371,0.981175834092948,9.89556920798798e-21
"VQICCRatingConsWordAver3aafw","consistency",0.26865671641791,-0.849467300195569,0.809535112504903,0.240247639119365
"VQICCRatingConsWordAver3aamw","consistency",0.586363636363637,-0.0460298821235967,0.892276027916734,0.0311879951827763
"VQICCRatingConsWordAver3eebv","consistency",0.334177215189874,-0.683774905541002,0.826598719578863,0.18730639797287
"VQICCRatingConsWordAver3eebw","consistency",0.823255813953488,0.553038087679363,0.953970232219979,8.03185860217848e-05
"VQICCRatingConsWordAver3eenw","consistency",0.394736842105263,-0.530627878411048,0.842370358952769,0.14082220706808
"VQICCRatingConsWordAver3iishw","consistency",0.615652173913043,0.0280368300267694,0.899903688051822,0.0216303045117438
"VQICCRatingConsWordAver3oo3v","consistency",0.190476190476191,-1.04717517485204,0.789174434541384,0.304299875164754
"VQICCRatingConsWordAver3oo3w","consistency",0.648888888888889,0.112087943770055,0.908559578275597,0.0132920293196409
"VQICCRatingConsWordAver3oonw","consistency",0.462222222222222,-0.359966567137003,0.85994568318161,0.0941830597735813
"VQICCRatingConsWordAver7aadw","consistency",0.152727272727272,-1.14263703327295,0.779343424216255,0.334836480213909
"VQICCRatingConsWordAver7eefv","consistency",-0.507692307692308,-2.81274797271086,0.607349308856261,0.720138219292543
"VQICCRatingConsWordAver7eefw","consistency",0.0393442622950818,-1.4293671843519,0.749814907566661,0.422568722785451
"VQICCRatingConsWordAver7enw","consistency",0.695172413793103,0.229132658297093,0.920613269834204,0.00571451041581019
"VQICCRatingConsWordAver7ookw","consistency",0.72,0.291918233639411,0.92707915735902,0.00327164879700485
"VQICCRatingConsWordAver7oomw","consistency",0.704761904761905,0.253383171524549,0.923110676126858,0.00465377769481766
"VQICCRatingConsWordAverbaa3w","consistency",0.637974683544304,0.0844874087742832,0.905717174523868,0.0157450235114399
"VQICCRatingConsWordAverbeetw","consistency",0.2,-1.02309076103025,0.791654735311486,0.296531410984881
"VQICCRatingConsWordAverbii3v","consistency",0.0315789473684212,-1.44900460545768,0.74779257432443,0.428295429486317
"VQICCRatingConsWordAverbii3w","consistency",0.485106382978723,-0.302095649386493,0.865905441344094,0.0800749249223144
"VQICCRatingConsWordAverbooshw","consistency",0.270967741935484,-0.843623032229182,0.810136976533854,0.238356453939798
"VQICCRatingConsWordAverdaasw","consistency",0.51864406779661,-0.217283424009729,0.874639713619623,0.0612962167074432
"VQICCRatingConsWordAverdiinw","consistency",-4.86097648619663e-16,-1.52886345128782,0.739568419139357,0.451157514564556
"VQICCRatingConsWordAverdjuu3v","consistency",0.445360824742268,-0.402606738961697,0.855554442780386,0.105182171395038
"VQICCRatingConsWordAverdjuu3w","consistency",0.528440366972477,-0.192509921065998,0.877190979300578,0.0562716657734568
"VQICCRatingConsWordAverdoomv","consistency",-0.399999999999999,-2.54040883180294,0.6353957867951,0.677488865185426
"VQICCRatingConsWordAverdoomw","consistency",0.392727272727273,-0.535709804963873,0.84184700362281,0.142306749846246
"VQICCRatingConsWordAverloo7w","consistency",0.64954128440367,0.113737762943169,0.908729482670857,0.0131539628696713
"VQICCRatingConsWordAvermaatv","consistency",0.652173913043478,0.120395321291194,0.909415102309342,0.0126064771632814
"VQICCRatingConsWordAvermaatw","consistency",0.233009708737864,-0.939613715065414,0.800251505941837,0.269488950526526
"VQICCRatingConsWordAvermoozw","consistency",0.316666666666667,-0.728056691713341,0.822038419745227,0.201272003725008
"VQICCRatingConsWordAvermuunw","consistency",0.535714285714286,-0.174115173812201,0.879085337457559,0.0526824005961161
"VQICCRatingConsWordAvermuusw","consistency",0.15,-1.14953393359465,0.778633156268453,0.337023283439242
"VQICCRatingConsWordAvernaa7v","consistency",-0.507692307692307,-2.81274797271086,0.607349308856261,0.720138219292543
"VQICCRatingConsWordAvernaa7w","consistency",-0.133333333333333,-1.86604524479286,0.704844208357938,0.539629571524151
"VQICCRatingConsWordAvernaamv","consistency",-1.45714285714285,-5.21377876602149,0.360082401313849,0.909870850526573
"VQICCRatingConsWordAvernaamw","consistency",-0.0489795918367341,-1.65272615094273,0.726812586607407,0.485203183768701
"VQICCRatingConsWordAvernoo3v","consistency",0.515555555555556,-0.225093849734987,0.873835367494177,0.0629248836200252
"VQICCRatingConsWordAvernoo3w","consistency",0.456441717791411,-0.37458467352209,0.858440257274522,0.0978987773524242
"VQICCRatingConsWordAvernoomw","consistency",0.683720930232558,0.200173420057807,0.917630941867332,0.00719381894898871
"VQICCRatingConsWordAvernuu7v","consistency",0.70188679245283,0.246112405087783,0.922361906083054,0.004955529512385
"VQICCRatingConsWordAvernuu7w","consistency",0.491666666666667,-0.285505587737974,0.86761394639584,0.0762173159814449
"VQICCRatingConsWordAversaamv","consistency",0.155294117647059,-1.13614583297018,0.780011911696539,0.332775630251853
"VQICCRatingConsWordAversaamw","consistency",-0.166666666666666,-1.95034069316912,0.696163155662583,0.559651385656641
"VQICCRatingConsWordAverzaa7w","consistency",0.710869565217392,0.268828610823306,0.92470130379464,0.00405708202096194
"VQICCRatingConsWordAverzii7w","consistency",0.688888888888889,0.213242481821568,0.918976841510022,0.00649647403267625
