,Response,Context,Subject,Item,Rater
141,3,7-n,p02,7en-w,R02
142,2,o-n,p02,diin-w,R02
143,3,o-7,p02,zaa7-w,R02
144,2,o-3,p02,djuu3-w,R02
145,2,isolation,p02,djuu3-v,R02
146,3,n-7,p02,nuu7-w,R02
147,2,isolation,p02,nuu7-v,R02
148,3,3--3,p02,3oo3-w,R02
149,3,isolation,p02,3oo3-v,R02
150,3,o-7,p02,loo7-w,R02
151,3,o-3,p02,bii3-w,R02
152,2,isolation,p02,bii3-v,R02
153,3,o-7,p02,zii7-w,R02
154,2,n-o,p02,muus-w,R02
155,3,n-o,p02,mooz-w,R02
156,3,7-o,p02,7ook-w,R02
157,3,7-n,p02,7oom-w,R02
158,3,n-7,p02,naa7-w,R02
159,3,3-o,p02,3aaf-w,R02
160,3,isolation,p02,naa7-v,R02
161,2,n-n,p02,naam-w,R02
162,2,isolation,p02,naam-v,R02
163,2,o-n,p02,doom-w,R02
164,2,isolation,p02,doom-v,R02
165,2,3-n,p02,3oon-w,R02
166,2,n-n,p02,noom-w,R02
167,2,n-n,p02,muun-w,R02
168,3,3-o,p02,3eeb-w,R02
169,2,o-n,p02,saam-w,R02
170,3,isolation,p02,saam-v,R02
171,3,isolation,p02,3eeb-v,R02
172,3,3-n,p02,3aam-w,R02
173,3,7-o,p02,7aad-w,R02
174,3,3-n,p02,3een-w,R02
175,3,3-o,p02,3iish-w,R02
176,3,7-o,p02,7eef-w,R02
177,3,isolation,p02,7eef-v,R02
178,3,o-3,p02,baa3-w,R02
179,2,o-o,p02,beet-w,R02
180,2,o-o,p02,boosh-w,R02
181,3,n-3,p03,noo3-w,R02
182,2,isolation,p03,noo3-v,R02
183,3,o-o,p03,daas-w,R02
184,3,n-o,p03,maat-w,R02
185,3,isolation,p03,maat-v,R02
186,3,7-n,p03,7en-w,R02
187,2,o-n,p03,diin-w,R02
188,3,o-7,p03,zaa7-w,R02
189,3,o-3,p03,djuu3-w,R02
190,2,isolation,p03,djuu3-v,R02
191,3,n-7,p03,nuu7-w,R02
192,2,isolation,p03,nuu7-v,R02
193,3,3--3,p03,3oo3-w,R02
194,2,isolation,p03,3oo3-v,R02
195,3,o-7,p03,loo7-w,R02
196,2,o-3,p03,bii3-w,R02
197,2,isolation,p03,bii3-v,R02
198,2,o-7,p03,zii7-w,R02
199,2,n-n,p03,muun-w,R02
200,2,n-o,p03,muus-w,R02
201,3,n-o,p03,mooz-w,R02
202,3,7-o,p03,7ook-w,R02
203,3,7-n,p03,7oom-w,R02
204,3,3-o,p03,3aaf-w,R02
205,3,n-7,p03,naa7-w,R02
206,3,isolation,p03,naa7-v,R02
207,3,n-n,p03,naam-w,R02
208,3,isolation,p03,naam-v,R02
209,3,o-n,p03,doom-w,R02
210,2,isolation,p03,doom-v,R02
211,3,3-n,p03,3oon-w,R02
212,3,n-n,p03,noom-w,R02
213,3,3-o,p03,3eeb-w,R02
214,2,isolation,p03,3eeb-v,R02
215,3,3-n,p03,3aam-w,R02
216,3,7-o,p03,7aad-w,R02
217,3,3-n,p03,3een-w,R02
218,3,3-o,p03,3iish-w,R02
219,3,7-o,p03,7eef-w,R02
220,2,isolation,p03,7eef-v,R02
221,3,o-n,p03,saam-w,R02
222,3,isolation,p03,saam-v,R02
223,3,o-3,p03,baa3-w,R02
224,2,o-o,p03,beet-w,R02
225,3,o-o,p03,boosh-w,R02
226,3,n-3,p06,noo3-w,R02
227,2,isolation,p06,noo3-v,R02
228,2,o-o,p06,daas-w,R02
229,2,n-o,p06,maat-w,R02
230,2,isolation,p06,maat-v,R02
231,2,7-n,p06,7en-w,R02
232,2,o-n,p06,diin-w,R02
233,3,o-7,p06,zaa7-w,R02
234,2,o-3,p06,djuu3-w,R02
235,2,isolation,p06,djuu3-v,R02
236,3,n-7,p06,nuu7-w,R02
237,2,isolation,p06,nuu7-v,R02
238,3,3--3,p06,3oo3-w,R02
239,2,isolation,p06,3oo3-v,R02
240,2,o-7,p06,loo7-w,R02
241,2,o-3,p06,bii3-w,R02
242,2,isolation,p06,bii3-v,R02
243,2,o-7,p06,zii7-w,R02
244,3,n-n,p06,noom-w,R02
245,2,n-n,p06,muun-w,R02
246,2,n-o,p06,muus-w,R02
247,2,n-o,p06,mooz-w,R02
248,2,7-o,p06,7ook-w,R02
249,2,7-n,p06,7oom-w,R02
250,3,3-o,p06,3aaf-w,R02
251,3,n-7,p06,naa7-w,R02
252,3,isolation,p06,naa7-v,R02
253,2,n-n,p06,naam-w,R02
254,3,isolation,p06,naam-v,R02
255,2,o-n,p06,doom-w,R02
256,2,isolation,p06,doom-v,R02
257,2,3-n,p06,3oon-w,R02
258,2,3-o,p06,3eeb-w,R02
259,2,isolation,p06,3eeb-v,R02
260,3,3-n,p06,3aam-w,R02
261,3,7-o,p06,7aad-w,R02
262,3,3-n,p06,3een-w,R02
263,3,3-o,p06,3iish-w,R02
264,2,7-o,p06,7eef-w,R02
265,2,isolation,p06,7eef-v,R02
266,2,o-n,p06,saam-w,R02
267,3,isolation,p06,saam-v,R02
268,3,o-3,p06,baa3-w,R02
269,2,o-o,p06,beet-w,R02
270,2,o-o,p06,boosh-w,R02
271,3,n-3,p07,noo3-w,R02
272,3,isolation,p07,noo3-v,R02
273,3,o-3,p07,djuu3-w,R02
274,2,isolation,p07,djuu3-v,R02
275,2,n-7,p07,nuu7-w,R02
276,2,isolation,p07,nuu7-v,R02
277,3,3--3,p07,3oo3-w,R02
278,3,isolation,p07,3oo3-v,R02
279,3,o-7,p07,loo7-w,R02
280,3,o-3,p07,bii3-w,R02
281,3,isolation,p07,bii3-v,R02
282,1,o-7,p07,zii7-w,R02
283,3,o-o,p07,daas-w,R02
284,3,n-o,p07,maat-w,R02
285,3,isolation,p07,maat-v,R02
286,3,7-n,p07,7en-w,R02
287,2,o-n,p07,diin-w,R02
288,3,o-7,p07,zaa7-w,R02
289,3,n-7,p07,naa7-w,R02
290,3,isolation,p07,naa7-v,R02
291,3,n-n,p07,naam-w,R02
292,3,isolation,p07,naam-v,R02
293,3,o-n,p07,doom-w,R02
294,2,isolation,p07,doom-v,R02
295,2,3-n,p07,3oon-w,R02
296,3,n-n,p07,noom-w,R02
297,3,n-n,p07,muun-w,R02
298,2,n-o,p07,muus-w,R02
299,2,n-o,p07,mooz-w,R02
300,3,7-o,p07,7ook-w,R02
301,3,7-n,p07,7oom-w,R02
302,3,3-o,p07,3aaf-w,R02
303,3,3-o,p07,3eeb-w,R02
304,3,isolation,p07,3eeb-v,R02
305,3,o-n,p07,saam-w,R02
306,3,isolation,p07,saam-v,R02
307,3,3-n,p07,3aam-w,R02
308,3,7-o,p07,7aad-w,R02
309,2,3-n,p07,3een-w,R02
310,2,3-o,p07,3iish-w,R02
311,3,7-o,p07,7eef-w,R02
312,2,isolation,p07,7eef-v,R02
313,3,o-3,p07,baa3-w,R02
314,2,o-o,p07,beet-w,R02
315,2,o-o,p07,boosh-w,R02
316,1,n-3,p08,noo3-w,R02
317,2,isolation,p08,noo3-v,R02
318,2,o-o,p08,daas-w,R02
319,2,n-o,p08,maat-w,R02
320,2,isolation,p08,maat-v,R02
321,3,7-n,p08,7en-w,R02
322,2,o-n,p08,diin-w,R02
323,3,o-3,p08,djuu3-w,R02
324,2,isolation,p08,djuu3-v,R02
325,3,n-7,p08,nuu7-w,R02
326,2,isolation,p08,nuu7-v,R02
327,3,3--3,p08,3oo3-w,R02
328,2,isolation,p08,3oo3-v,R02
329,2,o-7,p08,loo7-w,R02
330,2,o-3,p08,bii3-w,R02
331,2,isolation,p08,bii3-v,R02
332,3,o-7,p08,zii7-w,R02
333,3,o-7,p08,zaa7-w,R02
334,2,o-n,p08,doom-w,R02
335,2,isolation,p08,doom-v,R02
336,3,3-n,p08,3oon-w,R02
337,2,n-n,p08,noom-w,R02
338,2,n-n,p08,muun-w,R02
339,2,n-o,p08,muus-w,R02
340,2,n-o,p08,mooz-w,R02
341,3,7-o,p08,7ook-w,R02
342,3,7-n,p08,7oom-w,R02
343,3,3-o,p08,3aaf-w,R02
344,3,n-7,p08,naa7-w,R02
345,2,isolation,p08,naa7-v,R02
346,3,n-n,p08,naam-w,R02
347,3,isolation,p08,naam-v,R02
348,3,3-o,p08,3eeb-w,R02
349,3,isolation,p08,3eeb-v,R02
350,2,o-n,p08,saam-w,R02
351,2,isolation,p08,saam-v,R02
352,3,3-n,p08,3aam-w,R02
353,3,7-o,p08,7aad-w,R02
354,3,3-n,p08,3een-w,R02
355,3,3-o,p08,3iish-w,R02
356,3,7-o,p08,7eef-w,R02
357,3,isolation,p08,7eef-v,R02
358,2,o-3,p08,baa3-w,R02
359,2,o-o,p08,beet-w,R02
360,2,o-o,p08,boosh-w,R02
361,3,n-3,p09,noo3-w,R02
362,2,isolation,p09,noo3-v,R02
363,2,o-o,p09,daas-w,R02
364,2,n-o,p09,maat-w,R02
365,2,isolation,p09,maat-v,R02
366,3,7-n,p09,7en-w,R02
367,2,o-n,p09,diin-w,R02
368,3,o-7,p09,zaa7-w,R02
369,3,o-3,p09,djuu3-w,R02
370,2,isolation,p09,djuu3-v,R02
371,2,n-7,p09,nuu7-w,R02
372,2,isolation,p09,nuu7-v,R02
373,3,3--3,p09,3oo3-w,R02
374,2,isolation,p09,3oo3-v,R02
375,2,o-7,p09,loo7-w,R02
376,3,o-3,p09,bii3-w,R02
377,2,isolation,p09,bii3-v,R02
378,3,o-7,p09,zii7-w,R02
379,2,n-n,p09,noom-w,R02
380,2,n-n,p09,muun-w,R02
381,2,n-o,p09,muus-w,R02
382,2,n-o,p09,mooz-w,R02
383,3,7-o,p09,7ook-w,R02
384,3,7-n,p09,7oom-w,R02
385,3,3-o,p09,3aaf-w,R02
386,3,n-7,p09,naa7-w,R02
387,3,isolation,p09,naa7-v,R02
388,3,n-n,p09,naam-w,R02
389,2,isolation,p09,naam-v,R02
390,2,o-n,p09,doom-w,R02
391,2,isolation,p09,doom-v,R02
392,3,3-n,p09,3oon-w,R02
393,2,3-o,p09,3eeb-w,R02
394,2,isolation,p09,3eeb-v,R02
395,2,o-n,p09,saam-w,R02
396,2,isolation,p09,saam-v,R02
397,3,3-n,p09,3aam-w,R02
398,3,7-o,p09,7aad-w,R02
399,3,3-n,p09,3een-w,R02
400,3,3-o,p09,3iish-w,R02
401,2,7-o,p09,7eef-w,R02
402,2,isolation,p09,7eef-v,R02
403,2,o-3,p09,baa3-w,R02
404,2,o-o,p09,beet-w,R02
405,2,o-o,p09,boosh-w,R02
406,2,n-3,p04,noo3-w,R01
407,1,isolation,p04,noo3-v,R01
408,2,o-3,p04,djuu3-w,R01
409,1,isolation,p04,djuu3-v,R01
410,3,n-7,p04,nuu7-w,R01
411,1,isolation,p04,nuu7-v,R01
412,3,3--3,p04,3oo3-w,R01
413,2,isolation,p04,3oo3-v,R01
414,3,o-7,p04,loo7-w,R01
415,3,o-3,p04,bii3-w,R01
416,2,isolation,p04,bii3-v,R01
417,3,o-7,p04,zii7-w,R01
418,2,o-o,p04,daas-w,R01
419,2,n-o,p04,maat-w,R01
420,1,isolation,p04,maat-v,R01
421,2,7-n,p04,7en-w,R01
422,2,o-n,p04,diin-w,R01
423,2,o-7,p04,zaa7-w,R01
424,2,n-7,p04,naa7-w,R01
425,1,isolation,p04,naa7-v,R01
426,2,n-n,p04,naam-w,R01
427,1,isolation,p04,naam-v,R01
428,3,o-n,p04,doom-w,R01
429,2,isolation,p04,doom-v,R01
430,2,3-n,p04,3oon-w,R01
431,3,n-n,p04,noom-w,R01
432,3,n-n,p04,muun-w,R01
433,2,n-o,p04,muus-w,R01
434,1,n-o,p04,mooz-w,R01
435,2,7-o,p04,7ook-w,R01
436,1,7-n,p04,7oom-w,R01
437,2,3-o,p04,3aaf-w,R01
438,2,3-o,p04,3eeb-w,R01
439,1,isolation,p04,3eeb-v,R01
440,2,3-n,p04,3aam-w,R01
441,3,7-o,p04,7aad-w,R01
442,2,3-n,p04,3een-w,R01
443,3,3-o,p04,3iish-w,R01
444,2,7-o,p04,7eef-w,R01
445,2,isolation,p04,7eef-v,R01
446,2,o-n,p04,saam-w,R01
447,2,isolation,p04,saam-v,R01
448,3,o-3,p04,baa3-w,R01
449,2,o-o,p04,beet-w,R01
450,2,o-o,p04,boosh-w,R01
451,3,n-3,p01,noo3-w,R01
452,2,isolation,p01,noo3-v,R01
453,2,o-o,p01,daas-w,R01
454,2,n-o,p01,maat-w,R01
455,2,isolation,p01,maat-v,R01
456,3,7-n,p01,7en-w,R01
457,2,o-n,p01,diin-w,R01
458,2,o-7,p01,zaa7-w,R01
459,3,o-3,p01,djuu3-w,R01
460,2,isolation,p01,djuu3-v,R01
461,3,n-7,p01,nuu7-w,R01
462,2,isolation,p01,nuu7-v,R01
463,3,3--3,p01,3oo3-w,R01
464,2,isolation,p01,3oo3-v,R01
465,3,o-7,p01,loo7-w,R01
466,3,o-3,p01,bii3-w,R01
467,2,isolation,p01,bii3-v,R01
468,2,o-7,p01,zii7-w,R01
469,3,3-n,p01,3oon-w,R01
470,2,n-n,p01,noom-w,R01
471,2,n-n,p01,muun-w,R01
472,2,n-o,p01,muus-w,R01
473,2,n-o,p01,mooz-w,R01
474,3,7-o,p01,7ook-w,R01
475,3,7-n,p01,7oom-w,R01
476,3,3-o,p01,3aaf-w,R01
477,2,n-7,p01,naa7-w,R01
478,2,isolation,p01,naa7-v,R01
479,2,n-n,p01,naam-w,R01
480,2,isolation,p01,naam-v,R01
481,2,o-n,p01,doom-w,R01
482,2,isolation,p01,doom-v,R01
483,3,3-o,p01,3eeb-w,R01
484,2,isolation,p01,3eeb-v,R01
485,3,3-n,p01,3aam-w,R01
486,3,7-o,p01,7aad-w,R01
487,3,3-n,p01,3een-w,R01
488,3,3-o,p01,3iish-w,R01
489,2,7-o,p01,7eef-w,R01
490,2,isolation,p01,7eef-v,R01
491,2,o-n,p01,saam-w,R01
492,2,isolation,p01,saam-v,R01
493,2,o-3,p01,baa3-w,R01
494,2,o-o,p01,beet-w,R01
495,2,o-o,p01,boosh-w,R01
496,1,n-3,p05,noo3-w,R01
497,2,isolation,p05,noo3-v,R01
498,2,o-o,p05,daas-w,R01
499,2,n-o,p05,maat-w,R01
500,2,isolation,p05,maat-v,R01
501,3,7-n,p05,7en-w,R01
502,2,o-n,p05,diin-w,R01
503,2,o-7,p05,zaa7-w,R01
504,3,o-3,p05,djuu3-w,R01
505,2,isolation,p05,djuu3-v,R01
506,3,n-7,p05,nuu7-w,R01
507,2,isolation,p05,nuu7-v,R01
508,3,3--3,p05,3oo3-w,R01
509,2,isolation,p05,3oo3-v,R01
510,2,o-7,p05,loo7-w,R01
511,3,o-3,p05,bii3-w,R01
512,2,isolation,p05,bii3-v,R01
513,2,o-7,p05,zii7-w,R01
514,2,n-n,p05,noom-w,R01
515,2,n-n,p05,muun-w,R01
516,2,n-o,p05,muus-w,R01
517,1,n-o,p05,mooz-w,R01
518,3,7-o,p05,7ook-w,R01
519,3,7-n,p05,7oom-w,R01
520,3,3-o,p05,3aaf-w,R01
521,2,n-7,p05,naa7-w,R01
522,2,isolation,p05,naa7-v,R01
523,2,n-n,p05,naam-w,R01
524,2,isolation,p05,naam-v,R01
525,2,o-n,p05,doom-w,R01
526,2,isolation,p05,doom-v,R01
527,3,3-n,p05,3oon-w,R01
528,3,3-o,p05,3eeb-w,R01
529,2,isolation,p05,3eeb-v,R01
530,2,o-n,p05,saam-w,R01
531,2,isolation,p05,saam-v,R01
532,3,3-n,p05,3aam-w,R01
533,3,7-o,p05,7aad-w,R01
534,3,3-n,p05,3een-w,R01
535,3,3-o,p05,3iish-w,R01
536,2,7-o,p05,7eef-w,R01
537,2,isolation,p05,7eef-v,R01
538,3,o-3,p05,baa3-w,R01
539,2,o-o,p05,beet-w,R01
540,2,o-o,p05,boosh-w,R01
541,2,n-3,p02,noo3-w,R01
542,2,isolation,p02,noo3-v,R01
543,2,o-o,p02,daas-w,R01
544,2,n-o,p02,maat-w,R01
545,2,isolation,p02,maat-v,R01
546,2,7-n,p02,7en-w,R01
547,2,o-n,p02,diin-w,R01
548,2,o-7,p02,zaa7-w,R01
549,2,o-3,p02,djuu3-w,R01
550,2,isolation,p02,djuu3-v,R01
551,2,n-7,p02,nuu7-w,R01
552,2,isolation,p02,nuu7-v,R01
553,3,3--3,p02,3oo3-w,R01
554,2,isolation,p02,3oo3-v,R01
555,2,o-7,p02,loo7-w,R01
556,2,o-3,p02,bii3-w,R01
557,2,isolation,p02,bii3-v,R01
558,2,o-7,p02,zii7-w,R01
559,2,n-o,p02,muus-w,R01
560,2,n-o,p02,mooz-w,R01
561,2,7-o,p02,7ook-w,R01
562,2,7-n,p02,7oom-w,R01
563,2,n-7,p02,naa7-w,R01
564,3,3-o,p02,3aaf-w,R01
565,2,isolation,p02,naa7-v,R01
566,2,n-n,p02,naam-w,R01
567,2,isolation,p02,naam-v,R01
568,2,o-n,p02,doom-w,R01
569,2,isolation,p02,doom-v,R01
570,3,3-n,p02,3oon-w,R01
571,2,n-n,p02,noom-w,R01
572,2,n-n,p02,muun-w,R01
573,3,3-o,p02,3eeb-w,R01
574,2,o-n,p02,saam-w,R01
575,2,isolation,p02,saam-v,R01
576,2,isolation,p02,3eeb-v,R01
577,2,3-n,p02,3aam-w,R01
578,2,7-o,p02,7aad-w,R01
579,2,3-n,p02,3een-w,R01
580,3,3-o,p02,3iish-w,R01
581,2,7-o,p02,7eef-w,R01
582,1,isolation,p02,7eef-v,R01
583,2,o-3,p02,baa3-w,R01
584,2,o-o,p02,beet-w,R01
585,2,o-o,p02,boosh-w,R01
586,3,n-3,p03,noo3-w,R01
587,2,isolation,p03,noo3-v,R01
588,2,o-o,p03,daas-w,R01
589,2,n-o,p03,maat-w,R01
590,2,isolation,p03,maat-v,R01
591,2,7-n,p03,7en-w,R01
592,2,o-n,p03,diin-w,R01
593,2,o-7,p03,zaa7-w,R01
594,3,o-3,p03,djuu3-w,R01
595,1,isolation,p03,djuu3-v,R01
596,2,n-7,p03,nuu7-w,R01
597,2,isolation,p03,nuu7-v,R01
598,3,3--3,p03,3oo3-w,R01
599,2,isolation,p03,3oo3-v,R01
600,2,o-7,p03,loo7-w,R01
601,2,o-3,p03,bii3-w,R01
602,2,isolation,p03,bii3-v,R01
603,2,o-7,p03,zii7-w,R01
604,2,n-n,p03,muun-w,R01
605,2,n-o,p03,muus-w,R01
606,2,n-o,p03,mooz-w,R01
607,2,7-o,p03,7ook-w,R01
608,2,7-n,p03,7oom-w,R01
609,3,3-o,p03,3aaf-w,R01
610,3,n-7,p03,naa7-w,R01
611,2,isolation,p03,naa7-v,R01
612,2,n-n,p03,naam-w,R01
613,2,isolation,p03,naam-v,R01
614,2,o-n,p03,doom-w,R01
615,2,isolation,p03,doom-v,R01
616,3,3-n,p03,3oon-w,R01
617,2,n-n,p03,noom-w,R01
618,3,3-o,p03,3eeb-w,R01
619,2,isolation,p03,3eeb-v,R01
620,3,3-n,p03,3aam-w,R01
621,3,7-o,p03,7aad-w,R01
622,2,3-n,p03,3een-w,R01
623,3,3-o,p03,3iish-w,R01
624,2,7-o,p03,7eef-w,R01
625,1,isolation,p03,7eef-v,R01
626,2,o-n,p03,saam-w,R01
627,1,isolation,p03,saam-v,R01
628,3,o-3,p03,baa3-w,R01
629,1,o-o,p03,beet-w,R01
630,2,o-o,p03,boosh-w,R01
631,2,n-3,p06,noo3-w,R01
632,1,isolation,p06,noo3-v,R01
633,2,o-o,p06,daas-w,R01
634,2,n-o,p06,maat-w,R01
635,2,isolation,p06,maat-v,R01
636,2,7-n,p06,7en-w,R01
637,2,o-n,p06,diin-w,R01
638,2,o-7,p06,zaa7-w,R01
639,3,o-3,p06,djuu3-w,R01
640,1,isolation,p06,djuu3-v,R01
641,2,n-7,p06,nuu7-w,R01
642,2,isolation,p06,nuu7-v,R01
643,3,3--3,p06,3oo3-w,R01
644,2,isolation,p06,3oo3-v,R01
645,2,o-7,p06,loo7-w,R01
646,3,o-3,p06,bii3-w,R01
647,2,isolation,p06,bii3-v,R01
648,2,o-7,p06,zii7-w,R01
649,2,n-n,p06,noom-w,R01
650,2,n-n,p06,muun-w,R01
651,2,n-o,p06,muus-w,R01
652,2,n-o,p06,mooz-w,R01
653,2,7-o,p06,7ook-w,R01
654,2,7-n,p06,7oom-w,R01
655,3,3-o,p06,3aaf-w,R01
656,2,n-7,p06,naa7-w,R01
657,1,isolation,p06,naa7-v,R01
658,2,n-n,p06,naam-w,R01
659,2,isolation,p06,naam-v,R01
660,2,o-n,p06,doom-w,R01
661,2,isolation,p06,doom-v,R01
662,3,3-n,p06,3oon-w,R01
663,2,3-o,p06,3eeb-w,R01
664,2,isolation,p06,3eeb-v,R01
665,3,3-n,p06,3aam-w,R01
666,2,7-o,p06,7aad-w,R01
667,2,3-n,p06,3een-w,R01
668,3,3-o,p06,3iish-w,R01
669,2,7-o,p06,7eef-w,R01
670,2,isolation,p06,7eef-v,R01
671,2,o-n,p06,saam-w,R01
672,2,isolation,p06,saam-v,R01
673,2,o-3,p06,baa3-w,R01
674,2,o-o,p06,beet-w,R01
675,2,o-o,p06,boosh-w,R01
676,1,n-3,p07,noo3-w,R01
677,1,isolation,p07,noo3-v,R01
678,3,o-3,p07,djuu3-w,R01
679,2,isolation,p07,djuu3-v,R01
680,3,n-7,p07,nuu7-w,R01
681,2,isolation,p07,nuu7-v,R01
682,3,3--3,p07,3oo3-w,R01
683,2,isolation,p07,3oo3-v,R01
684,3,o-7,p07,loo7-w,R01
685,3,o-3,p07,bii3-w,R01
686,1,isolation,p07,bii3-v,R01
687,2,o-7,p07,zii7-w,R01
688,2,o-o,p07,daas-w,R01
689,1,n-o,p07,maat-w,R01
690,2,isolation,p07,maat-v,R01
691,2,7-n,p07,7en-w,R01
692,2,o-n,p07,diin-w,R01
693,3,o-7,p07,zaa7-w,R01
694,2,n-7,p07,naa7-w,R01
695,2,isolation,p07,naa7-v,R01
696,2,n-n,p07,naam-w,R01
697,2,isolation,p07,naam-v,R01
698,2,o-n,p07,doom-w,R01
699,2,isolation,p07,doom-v,R01
700,2,3-n,p07,3oon-w,R01
701,3,n-n,p07,noom-w,R01
702,2,n-n,p07,muun-w,R01
